"Facility.Name","Facility.City","Facility.State","Facility.Type","Rating.Overall","Rating.Mortality","Rating.Safety","Rating.Readmission","Rating.Experience","Rating.Effectiveness","Rating.Timeliness","Rating.Imaging","Procedure.Heart Attack.Cost","Procedure.Heart Attack.Quality","Procedure.Heart Attack.Value","Procedure.Heart Failure.Cost","Procedure.Heart Failure.Quality","Procedure.Heart Failure.Value","Procedure.Pneumonia.Cost","Procedure.Pneumonia.Quality","Procedure.Pneumonia.Value","Procedure.Hip Knee.Cost","Procedure.Hip Knee.Quality","Procedure.Hip Knee.Value"
"Banner Del E. Webb Medical Center","Sun City West","AZ","Private","4","Same","Same","Above","Below","Same","Same","Above","23111","Average","Average","16561","Average","Average","19262","Average","Higher","18592","Average","Lower"
"Abrazo Arrowhead Campus","Glendale","AZ","Proprietary","3","Same","Above","Below","Below","Same","Same","Same","25293","Average","Average","19001","Average","Higher","17700","Average","Average","21481","Average","Average"
"Western Arizona Regional Medical Center","Bullhead City","AZ","Proprietary","1","Same","Below","Above","Below","Same","Below","Below","26191","Average","Higher","16458","Average","Average","16277","Average","Average","17588","Average","Lower"
"Mayo Clinic Hospital","Phoenix","AZ","Private","5","Above","Above","Above","Above","Same","Same","Above","20975","Average","Lower","15598","Better","Lower","17148","Better","Average","19770","Average","Lower"
"Banner Heart Hospital","Mesa","AZ","Private","4","Above","Below","Above","Above","None","None","None","24141","Average","Average","18729","Average","Higher","18449","Average","Average","0","Unknown","Unknown"
"Arizona Spine And Joint Hospital","Mesa","AZ","Proprietary","-1","None","None","None","Above","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","19374","Average","Lower"
"Core Institute Specialty Hospital, The","Phoenix","AZ","Proprietary","-1","None","None","None","Above","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","18058","Average","Lower"
"Abrazo West Campus","Goodyear","AZ","Proprietary","3","Same","Above","Above","Below","Same","Below","Above","24973","Average","Average","17291","Average","Average","18045","Average","Average","0","Unknown","Unknown"
"Banner-university Medical Center South Campus","Tucson","AZ","Private","2","Same","Same","Same","Below","Same","Below","Same","22734","Average","Average","17866","Average","Average","18266","Average","Average","0","Unknown","Unknown"
"Arizona Specialty Hospital","Chandler","AZ","Proprietary","-1","None","None","None","Above","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","23627","Average","Higher"
"Whiteriver Phs Indian Hospital","Whiteriver","AZ","Government","-1","None","None","None","None","Same","None","None","0","Unknown","Unknown","0","Unknown","Unknown","12756","Average","Lower","0","Unknown","Unknown"
"Oro Valley Hospital","Oro Valley","AZ","Proprietary","4","Same","Above","Below","Same","Same","Below","Same","23921","Average","Average","15647","Average","Average","15983","Average","Lower","18414","Average","Lower"
"Banner Estrella Medical Center","Phoenix","AZ","Private","4","Same","Above","Above","Same","Same","Below","Above","22965","Average","Average","14901","Average","Lower","17055","Average","Average","19066","Average","Lower"
"Valley View Medical Center","Fort Mohave","AZ","Proprietary","3","Same","Above","Same","Same","Same","Same","Below","22279","Average","Average","15587","Average","Average","19509","Average","Higher","16785","Average","Lower"
"Mercy Gilbert Medical Center","Gilbert","AZ","Church","3","Same","Below","Below","Same","Same","Same","Above","23666","Average","Average","19177","Average","Higher","19714","Average","Higher","20106","Average","Lower"
"Mountain Vista Medical Center, Lp","Mesa","AZ","Proprietary","2","Same","Below","Same","Below","Same","Below","Same","25230","Average","Average","19306","Average","Higher","21986","Average","Higher","20632","Average","Lower"
"Banner Gateway Medical Center","Gilbert","AZ","Unknown","3","Same","Same","Above","Same","Same","Below","Above","24001","Average","Average","16029","Average","Average","17796","Average","Average","20712","Average","Average"
"Scottsdale Thompson Peak Medical Center","Scottsdale","AZ","Proprietary","5","Same","Above","Above","Above","Same","Above","Above","23570","Average","Average","18980","Average","Higher","17368","Average","Average","19295","Average","Lower"
"Banner Ironwood Medical Center","Queen Creek","AZ","Private","4","Same","Same","Above","Above","Same","Same","Same","0","Unknown","Unknown","16042","Average","Average","17906","Average","Average","22450","Average","Average"
"O.a.s.i.s. Hospital","Phoenix","AZ","Private","-1","None","None","None","Above","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","21573","Average","Lower"
"Banner Goldfield Medical Center","Apache Junction","AZ","Unknown","4","Same","None","Above","Same","Same","Same","Same","0","Unknown","Unknown","14816","Average","Average","15948","Average","Average","0","Unknown","Unknown"
"Dignity Health - Arizona General Hospital","Laveen","AZ","Proprietary","-1","None","None","None","None","Same","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Santa Cruz Valley Regional Hospital","Green Valley","AZ","Proprietary","3","Same","None","Above","Below","Below","Same","None","0","Unknown","Unknown","15936","Average","Average","15947","Average","Average","0","Unknown","Unknown"
"Western Regional Medical Center","Goodyear","AZ","Proprietary","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Wickenburg Community Hospital","Wickenburg","AZ","Private","-1","None","None","Same","Above","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","18943","Average","Average","0","Unknown","Unknown"
"Benson Hospital","Benson","AZ","Private","4","None","None","Above","None","Same","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","12167","Average","Lower","0","Unknown","Unknown"
"Northern Cochise Community Hospital, Inc.","Willcox","AZ","Government","-1","None","None","Same","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","17870","Average","Average","0","Unknown","Unknown"
"Page Hospital","Page","AZ","Government","-1","None","None","None","Same","Same","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Hopi Health Care Center","Polacca","AZ","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Parker Indian Health Center","Parker","AZ","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Huhu Kam Memorial Hospital","Sacaton","AZ","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Sage Memorial Hospital","Ganado","AZ","Private","-1","None","None","None","None","None","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","12636","Average","Lower","0","Unknown","Unknown"
"Little Colorado Medical Center","Winslow","AZ","Private","-1","None","None","Same","Same","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","12863","Average","Lower","0","Unknown","Unknown"
"Copper Queen Community Hospital","Bisbee","AZ","Private","3","None","None","Same","None","Same","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","15942","Average","Average","0","Unknown","Unknown"
"Holy Cross Hospital","Nogales","AZ","Proprietary","-1","None","None","None","Same","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Cobre Valley Regional Medical Center","Globe","AZ","Private","3","Same","None","Same","Same","Same","Same","Same","25331","Average","Average","15589","Average","Average","14815","Average","Lower","22668","Average","Average"
"White Mountain Regional Medical Center","Springerville","AZ","Private","4","None","None","Same","None","Same","Same","Same","0","Unknown","Unknown","0","Unknown","Unknown","14510","Average","Lower","0","Unknown","Unknown"
"La Paz Regional Hospital","Parker","AZ","Private","2","Same","None","Below","Below","None","None","None","22009","Average","Average","14805","Average","Average","17492","Average","Average","21922","Average","Average"
"Banner Payson Medical Center","Payson","AZ","Unknown","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Phoenix Children's Hospital","Phoenix","AZ","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Hacienda Children's Hospital, Inc.","Mesa","AZ","Proprietary","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Siloam Springs Regional Hospital","Siloam Springs","AR","Unknown","3","Same","Same","Same","Same","Same","Above","Same","0","Unknown","Unknown","15819","Average","Average","18940","Average","Average","23808","Average","Average"
"Johnson Regional Medical Center","Clarksville","AR","Government","2","Same","Below","Same","Same","Same","Above","Same","0","Unknown","Unknown","14454","Average","Lower","14254","Average","Lower","24308","Average","Higher"
"Washington Regional Medical Center","Fayetteville","AR","Private","2","Below","Below","Above","Same","Same","Same","Below","23918","Average","Average","18251","Worse","Higher","18378","Worse","Average","19837","Better","Lower"
"Chi-st Vincent Infirmary","Little Rock","AR","Private","1","Below","Below","Below","Below","Same","Below","Same","26033","Average","Higher","17916","Average","Higher","18833","Average","Higher","17565","Average","Lower"
"Mercy Hospital Northwest Arkansas","Rogers","AR","Church","4","Same","Above","Above","Same","Same","Same","Below","24212","Average","Average","17025","Average","Average","18870","Average","Higher","18954","Average","Lower"
"Chambers Memorial Hospital","Danville","AR","Private","3","Same","None","Below","Above","Below","Above","None","22946","Average","Average","15741","Average","Average","15028","Average","Lower","0","Unknown","Unknown"
"White County Medical Center","Searcy","AR","Private","4","Below","Above","Above","Same","Same","Same","Same","21960","Average","Average","15913","Average","Average","17200","Average","Average","20455","Average","Lower"
"Mena Regional Health System","Mena","AR","Government","2","Below","None","Same","None","Same","Above","Same","0","Unknown","Unknown","16334","Worse","Average","16909","Average","Average","0","Unknown","Unknown"
"Uams Medical Center","Little Rock","AR","Government","1","Same","Below","Below","Same","Same","Below","Above","23850","Average","Average","16244","Average","Average","18331","Average","Average","17093","Average","Lower"
"North Arkansas Regional Medical Center","Harrison","AR","Unknown","3","Same","Same","Above","Same","Same","Same","Same","0","Unknown","Unknown","17221","Average","Average","16426","Average","Lower","21200","Average","Average"
"Sparks Medical Center - Van Buren","Van Buren","AR","Proprietary","3","None","None","Same","Same","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","15789","Average","Average","0","Unknown","Unknown"
"Forrest City Medical Center","Forrest City","AR","Proprietary","2","Same","None","Below","Same","Same","Above","Same","0","Unknown","Unknown","15789","Average","Average","15693","Average","Lower","0","Unknown","Unknown"
"St Bernards Medical Center","Jonesboro","AR","Private","2","Below","Above","Below","Above","Same","Same","Same","27055","Worse","Higher","18868","Worse","Higher","18648","Worse","Higher","21598","Average","Average"
"Northwest Medical Center-springdale","Springdale","AR","Proprietary","3","Below","Above","Above","Below","Above","Same","Same","25222","Average","Average","17113","Worse","Average","15918","Average","Lower","22873","Average","Average"
"Chi St. Vincent Hospital Hot Springs","Hot Springs","AR","Church","3","Same","Above","Below","Below","Same","Above","Below","20995","Average","Lower","15979","Average","Average","17338","Average","Average","21248","Average","Lower"
